year	model	hit_count	spec_score	length	beam_chine	weight	hp	fuel	cockpit	transom
2012	Alaskan 1800	5	4		"Width 97"""	(approx. lbs.) 2000			"21.25"""	"25"""
2012	Impact 1675	2	4		"Width 90"""	(approx. lbs.) 1600			"20"""	"25"""
2012	Impact 1775	3	4		"Width 90"""	(approx. lbs.) 1600			"20"""	"25"""
2012	Impact 1875	2	4		"Width 90"""	(approx. lbs.) 1600			"20"""	"25"""
2012	Pro-V 1775	6	4		"Width 97"""	(approx. lbs.) 2000			"21.25"""	"25"""
2012	Pro-V 1875	5	4		"Width 97"""	(approx. lbs.) 2000			"21.25"""	"25"""
2012	Sport Angler 1800	1	4		"Width 97"""	(approx. lbs.) 2000			"21.25"""	"25"""
2012	Tyee 1700	1	4		"Width 97"""	(approx. lbs.) 2000			"21.25"""	"25"""
2012	Tyee 1750	1	4		"Width 97"""	(approx. lbs.) 2000			"21.25"""	"25"""
2012	Tyee 1850	2	4		"Width 97"""	(approx. lbs.) 2000			"21.25"""	"25"""
2013	Alaskan 1800	5	4		"Width 97"""	(approx. lbs) 2000			"21.25"" 2"	"25"" 2"
2013	Crossover 1875	3	4		"Width 90"""	(approx. lbs) 1600			"20"""	"25"""
2013	Impact 1675	4	4		"Width 90"""	(approx. lbs) 1600			"20"""	"25"""
2013	Impact 1775	3	4		"Width 90"""	(approx. lbs) 1600			"20"""	"25"""
2013	Impact 1875	3	4		"Width 90"""	(approx. lbs) 1600			"20"""	"25"""
2013	Pro-V 1775	6	4		"Width 97"""	(approx. lbs) 2000			"21.25"" 2"	"25"" 2"
2013	Pro-V 1875	3	4		"Width 97"""	(approx. lbs) 2000			"21.25"" 2"	"25"" 2"
2013	Sport Angler 1800	1	4		"Width 97"""	(approx. lbs) 2000			"21.25"" 2"	"25"" 2"
2013	Tyee 1750	2	4		"Width 97"""	(approx. lbs) 2000			"21.25"" 2"	"25"" 2"
2014	Alaskan 1800	4	4		"Width 97"" 9"	(approx. lbs) 2000			"21.25"" 2"	"25"" 25"""
2014	Crossover 1675	1	4		"Width 96"" 9"	(approx. lbs) 220			"26.5"" 27"""	"25"" 25"""
