year	url	status	bytes	pages
1994	https://media.rvusa.com/library/1994.pdf	ok	31532036	45
1997	https://www.lundboats.com/content/dam/lund/technical/documents/newLN-1997LundCatalog.pdf	ok	8470833	27
1998	https://www.lundboats.com/content/dam/lund/technical/documents/1998-Lund-Catalog.pdf	ok	31126930	52
2002	https://www.lundboats.com/content/dam/lund/technical/documents/2002-Lund-Catalog.pdf	ok	41004243	58
2003	https://www.lundboats.com/content/dam/lund/technical/documents/2003-Lund-Catalog.pdf	ok	44319868	60
2005	https://www.lundboats.com/content/dam/lund/technical/documents/2005-Lund-Catalog.pdf	ok	49993801	34
2008	https://library.rvusa.com/brochure/2008.pdf	ok	44834014	68
2014	https://library.rvusa.com/brochure/2014-Lund.pdf	ok	26320244	92
2021	https://www.lundboats.com/content/dam/lund/general/2021-Lund-Redbook.pdf	ok	5215524	128
2024	https://www.lundboats.com/content/dam/lund/technical/documents/23_ABG_LN_MY2024Catalog_v8b_digital3.pdf	ok	5913194	25
